State (from\to) (Emission order)	1	2	3	4	5	6	7	8	9	10
1	0.8097174749320608	0.10358763375670454	0.0018838530692973582	0.04044054574611939	0.0	5.50753305952681E-4	4.17103000596976E-4	0.0028680556978860484	0.013783105955244526	0.026751474536137607
2	0.03735799093773747	0.6334530262091468	0.06538279168884122	9.640238013960225E-4	0.0	0.002869284190280528	0.025439220097737837	1.5949682781398586E-4	0.23345187859086122	9.222876561850329E-4
3	0.0014971157920445695	0.14519341210195202	0.8022321476399875	0.00944240436974308	0.0	0.008866005609470557	0.015580736007918034	6.0059851893747E-4	0.01658757995994674	0.0
4	0.03638529311607042	0.002678659363280369	0.010906382686780283	0.829984916306358	0.049839076903461316	0.0701965000508485	9.171573200935067E-6	0.0	0.0	0.0
5	0.0	0.0	0.0	0.021894266022069137	0.8979168697695995	0.08018886420833135	0.0	0.0	0.0	0.0
6	1.1843198947353972E-4	0.001769656588057202	0.002534980544320574	0.01672659466359206	0.04404185107405925	0.9036722170622393	0.03086810954754538	1.9562279647791761E-4	0.0	7.253573423486117E-5
7	5.734294900514565E-5	0.007861981854308205	0.0022179457213891323	1.613212615247876E-5	0.0	0.015050922386349194	0.9697506517296718	3.7835013233424866E-4	0.004666673100789787	0.0
8	0.00274208680544966	2.8368660365450736E-4	4.60619479491385E-4	2.5895576346967776E-8	0.0	7.508768564922167E-4	0.0036455959306885507	0.8857021034792887	0.10614919780638232	2.658071429762142E-4
9	1.6815750359214105E-4	0.007337964241545836	2.3846989603830773E-4	0.0	0.0	0.0	4.4871758751967403E-4	0.001191898677435173	0.9897351015079816	8.796905858870857E-4
10	0.021040046481048538	0.002302371840784485	0.0	0.0	0.0	3.234458290405511E-4	0.0	3.1629467830779866E-4	0.06200048173683667	0.914017359433982
